Avg cost per sq. ft (USD),City,Contact,Country,Country Code,Firm Name,Founded In,Head Architect,Mail,Primary Categories,Primary Style
15,New Jersey,8907896789,USA,United States: +1,Studio Mosby,2006,Ted Mosby,mosby@himym.com,"Commercial , Residential , All Categories","Contemporary , Classical , Traditional"
10,Fixham,441234,United Kingdom,United Kingdom: +44,WM Bonanza,2015,"Russel Drought , Shif Lamaz",bob@cn.com,"Residential , Institutional , All Categories","Art Deco , Boho , Industrial"
7.69,London,4.47001E+11,Scotland,United Kingdom: +44,Das Archon,1998,Albert Roberts,,"All Categories , Institutional , Residential","Gothic , Renaissance , Colonial"
6.85,Coppenhagen,780931780,Denmark,Denmark: +45,Inspirox,1895,Bo De Buirdley,miranda@inspirox.dn,"Recreational , All Categories , Agricultural","Minimalist , Farmhouse , Classical"
260,New York,2125550021,USA,United States: +1,Aether Designs,2012,Jane Cooper,contact@aether.com,"Residential , All Categories , Mixed-Use",Colonial
55,Dubai,9012345678,UAE,United Arab Emirates: +971,CityConnect,2015,Ahmed Omar,info@cityconnect.ae,"All Categories , Infrastructure",Contemporary
170,Los Angeles,8901234567,USA,United States: +1,InfraTech,2013,Carlos Martinez,contact@infratech.com,"All Categories , Infrastructure",Modern
15,Mumbai,7890123456,India,India: +91,BuildMetro,2009,Priya Desai,info@buildmetro.in,"Institutional , Infrastructure , All Categories",Postmodern
120,Shanghai,4567890123,China,China: +86,HeavyStruct,2010,Wei Zhang,contact@heavystruct.cn,"Industrial , Agricultural , Infrastructure , All Categories",Industrial
115,Sao Paulo,5678901234,Brazil,Brazil: +55,IndusBuilt,2014,Thiago Santos,indus@built.br,"Industrial , Commercial , All Categories",Brutalist
130,Detroit,6789012345,USA,United States: +1,MachinaWorks,2010,Eric Johnson,info@machinaworks.com,"Commercial , Infrastructure , Industrial , All Categories","Contemporary , Modern , Postmodern"
100,Miami,1234567890,USA,United States: +1,PlayScape,2016,Chris Nolan,info@playscape.com,"Recreational , Infrastructure , All Categories","Contemporary , Art Deco , Tropical"
22,Cape Town,2345678901,South Africa,South Africa: +27,LeisureWorks,2011,Thando Mbeki,contact@leisureworks.co.za,"Commercial , All Categories",Contemporary
75,Seoul,3456789012,South Korea,South Korea: +82,JoyBuild,2018,Soo-jin Park,hello@joybuild.kr,"Recreational , All Categories",Minimalist
70,Berlin,678901234,Germany,Germany: +49,EduStruct,2011,Hans Muller,info@edustruct.de,"Institutional , All Categories",Renaissance
130,San Francisco,7890123456,USA,United States: +1,FutureLearn,2014,Chloe Park,future@learn.com,"Industrial , All Categories",Classical
3.5,Jaipur,8123456789,India,India: +91,Rural Visions,2013,Rajesh Singh,info@ruralvisions.in,"Agricultural , All Categories , Residential","Farmhouse , Traditional"
8.5,Paris,9012345678,France,France: +33,AgriBuild,2015,Louis Moreau,contact@agribuild.fr,"Agricultural , All Categories",Traditional
18,Seattle,8901234567,USA,United States: +1,GreenRoots,2009,Emily Brooks,greenroots@designs.com,"Agricultural , All Categories",Modern
17.5,Chicago,5678901234,USA,United States: +1,Unity Build,2008,Tom Harrison,unity@build.com,"Mixed-Use , All Categories",Postmodern
12.5,Singapore,6789012345,Singapore,Singapore: +65,Spectrum Spaces,2016,Mei Tan,contact@spectrumspaces.sg,Mixed-Use,Postmodern
2.2,Tokyo,7890123456,Japan,Japan: +81,Futuro Designs,2012,Kenji Yamamoto,info@futuro.jp,"Mixed-Use , Commercial , Residential , All Categories","Japanese , Traditional , Modern"
1.5,Nairobi,1234567890,Kenya,Kenya: +254,Living Spaces,2009,Alex Green,info@livingspaces.com,"All Categories , Residential","Modern , Postmodern"
4.5,Warsaw,9876543210,Poland,Poland: +48,Harmony Homes,2015,Riya Shah,contact@harmonyhomes.com,"All Categories , Residential",Contemporary
20,Sydney,1029384756,Australia,Australia: +61,Habitat Creators,2000,Liam Turner,hello@habitatcreators.com,"Residential , All Categories",Modern
18,Toronto,2345678901,Canada,Canada: +1,UrbanBlue,2010,Maria Lopez,urbanblue@design.ca,"All Categories , Commercial , Industrial",Industrial
210,Dubai,3456789012,UAE,United Arab Emirates: +971,Vertex Designs,2017,Khaled Aziz,contact@vertexdesigns.ae,"Commercial , All Categories",Contemporary
160,Helsinki,4567890123,Finland,Finland: +358,ArchCity,2011,Sarah Bennett,info@archcity.com,"Commercial , All Categories",Minimalist
